provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
unmatch:marketreg:unaccredited,Colchester Teacher Training Consortium,,10035498,,C76,unaccredited,5509,2024-08-01T00:00:00Z,2025-07-31T00:00:00Z,scitt,Colchester Teacher Training,Colchester County High School,,Norman Way,"Colchester, Essex",CO3 3US,51.8853779,0.8753132,,"2024,2023,2022,2021,2020,2019",2024,,51.8853779,0.8753132,original,,,,COLCHESTER COUNTY HIGH SCHOOL FOR GIRLS,
unmatch:marketreg:unaccredited,Essex Teacher Training,,10002327,,E75,unaccredited,5593,2025-08-01T00:00:00Z,,scitt,ACL Harlow,Partridge Road,,Harlow,Essex,CM18 6TE,51.757474,0.097486,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,51.757474,0.097486,original,,,,ESSEX COUNTY COUNCIL,Adult Community Learning EssexEssex Teacher Training
unmatch:marketreg:unaccredited,Harris ITE,,10055126,,1WU,unaccredited,5623,2025-08-01T00:00:00Z,,scitt,"55, Southwark Park Road",,,London,,SE16 3TZ,51.4933567,-0.0718341,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,200003404940,51.4933567,-0.0718341,updated,true,,,HARRIS FEDERATION,
unmatch:marketreg:unaccredited,London District East SCITT,,10064183,140998,24M,unaccredited,5652,2025-08-01T00:00:00Z,,scitt,Barclay Road,,,London,,E13 8SA,51.519907,0.0339364,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,10008983205,51.519907,0.0339364,updated,true,address__address_line_1,organisation_name,THE BOLEYN TRUST,
unmatch:marketreg:unaccredited,Services for Education,,10046628,,1WE,unaccredited,5617,2025-08-01T00:00:00Z,,scitt,"3, Holt Court North, Heneage Street West",,,Birmingham,,B7 4AX,52.4866068,-1.8850956,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100071478973,52.4866068,-1.8850956,updated,true,provider__operating_name,organisation_name,SERVICES FOR EDUCATION LIMITED,
