provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
match:market_reg:accreditation,Lincoln Bishop University,Lincoln Bishop University,10007811,133835,B38,accredited,1503,2024-08-01T00:00:00Z,,hei,Longdales Road,,,Lincoln,,LN1 3DY,53.2435632,-0.537139,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,235029019,53.2435632,-0.537139,updated,true,,,LINCOLN BISHOP UNIVERSITY,
match:market_reg:accreditation,Lincolnshire ITT,The Priory Federation of Academies Trust,10058228,,25G,accredited,5676,2024-08-01T00:00:00Z,,scitt,c/o The Priory Federation of Academies,Clayton Road,,Lincoln,Lincolnshire,LN5 8RE,53.2080394,-0.5435579,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,53.2080394,-0.5435579,original,,,,THE PRIORY FEDERATION OF ACADEMIES,THE PRIORY FEDERATION OF ACADEMIES (Academy Trust)
match:market_reg:accreditation,Liverpool Hope University,Liverpool Hope University,10003956,133826,L46,accredited,1518,2024-08-01T00:00:00Z,,hei,Hope Park,Taggart Avenue,,Liverpool,,L16 9JD,53.3908007,-2.8922988,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,38148665,53.3908007,-2.8922988,updated,true,,,LIVERPOOL HOPE UNIVERSITY,
match:market_reg:accreditation,London East Teacher Training Alliance,The LETTA Trust,10064599,144236,133,accredited,5663,2024-08-01T00:00:00Z,,scitt,"LETTA, Second Floor, St. Paul's Way Community Centre",83 St Paul's Way,,London,,E3 4AJ,51.518104,-0.0270085,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,51.518104,-0.0270085,original,,,,THE LETTA TRUST,LETTA Teaching School AllianceLETTA School Direct Ltd.LETTA
match:market_reg:accreditation,London Metropolitan University,London Metropolitan University,10004048,133816,L68,accredited,1520,2024-08-01T00:00:00Z,,hei,166 220,Holloway Road,,London,,N7 8DB,51.5516422,-0.1105435,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,5300047823,51.5516422,-0.1105435,updated,true,,,LONDON METROPOLITAN UNIVERSITY,
match:market_reg:accreditation,London School of Jewish Studies (LSJS),London School of Jewish Studies,10029147,,28T,accredited,5501,2024-08-01T00:00:00Z,,scitt,Schaller House 44 A,Albert Road,,London,,NW4 2SJ,51.5882002,-0.2137078,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,200219174,51.5882002,-0.2137078,updated,true,,,THE LONDON SCHOOL OF JEWISH STUDIES,
match:market_reg:accreditation,Loughborough University,Loughborough University,10004113,133834,L79,accredited,1521,2024-08-01T00:00:00Z,,hei,Loughborough University,"","",Loughborough,"",LE11 3TU,52.764851,-1.22951,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,52.764828,-1.2295195,original,true,,,LOUGHBOROUGH UNIVERSITY,
match:market_reg:accreditation,Manchester Metropolitan University,Manchester Metropolitan University,10004180,133844,M40,accredited,1522,2024-08-01T00:00:00Z,,hei,"Brooks Building, Birley Fields Campus","53, Bonsall Street",,Manchester,,M15 6GX,53.4666748,-2.2465299,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,10091144903,53.4666748,-2.2465299,updated,true,,,MANCHESTER METROPOLITAN UNIVERSITY,
match:market_reg:accreditation,Manchester Nexus SCITT,The Cranmer Education Trust,10058966,,2EU,accredited,5710,2024-08-01T00:00:00Z,,scitt,Egerton Street,,,Oldham,,OL1 3SQ,53.5447178,-2.10836,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100012727743,53.5447178,-2.10836,updated,true,,,CRANMER EDUCATION TRUST,CRANMER EDUCATION TRUST (Academy Trust)Manchester Nexus SCITT
match:market_reg:accreditation,Mid Essex Initial Teacher Training,Bridge Academy Trust,10058864,,M82,accredited,5524,2024-08-01T00:00:00Z,,scitt,Notley Road,"",,Braintree,,CM7 1WY,51.866065,0.550056,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100091451479,51.865992,0.550046,original,true,,,BRIDGE ACADEMY TRUST,Bridge Academy Trust (Academy Trust)
