provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
unmatch:marketreg:unaccredited,Colchester Teacher Training Consortium,,10035498,,C76,unaccredited,5509,2024-08-01T00:00:00Z,2025-07-31T00:00:00Z,scitt,Colchester Teacher Training,Colchester County High School,,Norman Way,"Colchester, Essex",CO3 3US,51.8853779,0.8753132,,"2024,2023,2022,2021,2020,2019",2024,,51.8853779,0.8753132,original,,,,COLCHESTER COUNTY HIGH SCHOOL FOR GIRLS,
unmatch:marketreg:unaccredited,Essex Teacher Training,,10002327,,E75,unaccredited,5593,2025-08-01T00:00:00Z,,scitt,Abbotsweld,"",,Harlow,,CM18 6TE,51.757768,0.096394,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100091439798,51.757474,0.097486,original,true,,,ESSEX COUNTY COUNCIL,Adult Community Learning EssexEssex Teacher Training
