provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
unaacredited,Tyssen Community Primary School,,,,1QT,unaccredited,,,,school,Oldhill Street,,,,London,N16 6QA,51.5691803,-0.0662425,missing address__town_or_city,"2021,2020,2019",2021,,51.5691803,-0.0662425,original,,,,,
unaacredited,UCAT Trust,,,,2GA,unaccredited,,,,school,Murlain House,Union Street,,Chester,,CH1 1QP,53.1908736,-2.8842264,,"2021,2020,2019",2021,100012566448,53.1908736,-2.8842264,updated,true,address__address_line_1,address_line_1,,
unaacredited,UTC Reading,,10041666,139268,1T1,unaccredited,,,,school,Crescent Road,,,Reading,,RG1 5RQ,51.4481126,-0.939561,missing address__town_or_city,"2021,2020,2019",2021,310079041,51.4481126,-0.939561,updated,true,,,UTC READING,
unaacredited,Uckfield Community Technology College,,,,1NU,unaccredited,,,,school,Downsview Crescent,,,Uckfield,,TN22 3DJ,50.974148,0.102383,missing address__town_or_city,"2021,2020,2019",2021,100062557161,50.974148,0.102383,updated,true,,,,
unaacredited,Unity College,,10016004,135003,1KE,unaccredited,,,,school,Towneley Holmes,,,Burnley,,BB11 3DF,53.7819979,-2.2249419,,"2021,2020,2019",2021,10023760016,53.7819979,-2.2249419,updated,true,,,UNITY COLLEGE,
unaacredited,Unity Teaching School Alliance,,,,4D8,unaccredited,,,,school,Green Lane,Castle Bromwich,,Birmingham,,B36 0BX,52.5067534,-1.7621474,,"2021,2020",2021,100071401143,52.5067534,-1.7621474,updated,true,address__address_line_1,address_line_1,,
unaacredited,University Campus Barnsley,,,,B13,unaccredited,,,,school,Church Street,,,Barnsley,South Yorkshire,S70 2AN,53.5548175,-1.4827879,,"2021,2020,2019",2021,,53.5548175,-1.4827879,original,,,,,
unaacredited,University Campus Oldham,,,,O10,unaccredited,,,,school,"First Floor, Oldham Business Centre",University Way,,Oldham,,OL1 1BB,53.5390081,-2.1136936,missing address__town_or_city,2019,2019,422000127612,53.5390081,-2.1136936,updated,true,,,,
unaacredited,University Centre Colchester at Colchester Institute,,10001535,,C75,unaccredited,,,,hei,Sheepen Road,,,Colchester,,CO3 3LL,51.8937486,0.8893011,,"2022,2021,2020,2019",2022,100091468724,51.8937486,0.8893011,updated,true,,,COLCHESTER INSTITUTE,
unaacredited,University Centre Doncaster,,,,25J,unaccredited,,,,school,High Melton,,,Doncaster,,DN5 7SZ,53.5289288,-1.1361234,,"2021,2020,2019",2021,,53.5289288,-1.1361234,original,,,,,
